as: [922, 0.010849484002306398]
produce: [9, 0.00010590602605288241]
results: [9, 0.00010590602605288241]
many of: [9, 0.09375]
than an: [9, 0.02356020942408377]
wanted to: [9, 0.6923076923076923]
spent: [9, 0.00010590602605288241]
after-school: [9, 0.00010590602605288241]
trapped: [9, 0.00010590602605288241]
nothing but: [9, 0.0743801652892562]
hey: [9, 0.00010590602605288241]
director's: [9, 0.00010590602605288241]
made a: [9, 0.08256880733944955]
interesting and: [9, 0.1232876712328767]
puts: [9, 0.00010590602605288241]
trip: [9, 0.00010590602605288241]
way that: [9, 0.06818181818181818]
hollow: [9, 0.00010590602605288241]
skip: [9, 0.00010590602605288241]
standards: [9, 0.00010590602605288241]
able: [9, 0.00010590602605288241]
behind the: [9, 0.47368421052631576]
able to: [9, 1.0]
working: [9, 0.00010590602605288241]
well-acted: [9, 0.00010590602605288241]
even more: [9, 0.04455445544554455]
obnoxious: [9, 0.00010590602605288241]
stiff: [9, 0.00010590602605288241]
twice: [9, 0.00010590602605288241]
shake: [9, 0.00010590602605288241]
value: [9, 0.00010590602605288241]
escape: [9, 0.00010590602605288241]
read: [9, 0.00010590602605288241]
touch: [9, 0.00010590602605288241]
content: [9, 0.00010590602605288241]
named: [9, 0.00010590602605288241]
enjoyable: [9, 0.00010590602605288241]
behavior: [9, 0.00010590602605288241]
finds: [9, 0.00010590602605288241]
artificial: [9, 0.00010590602605288241]
viewing: [9, 0.00010590602605288241]
crude: [9, 0.00010590602605288241]
feature-length: [9, 0.00010590602605288241]
wears: [9, 0.00010590602605288241]
vulgar: [9, 0.00010590602605288241]
santa: [9, 0.00010590602605288241]
less like: [9, 0.10588235294117647]
generate: [9, 0.00010590602605288241]
showtime: [9, 0.00010590602605288241]
usual: [9, 0.00010590602605288241]
hour and: [9, 0.32142857142857145]
but his: [9, 0.010526315789473684]
film of: [9, 0.014446227929373997]
delivers: [9, 0.00010590602605288241]
very good: [9, 0.06923076923076923]
sitcom: [9, 0.00010590602605288241]
clumsily: [9, 0.00010590602605288241]
side of: [9, 0.4090909090909091]
atmosphere: [9, 0.00010590602605288241]
thing is: [9, 0.09574468085106383]
cinematography: [9, 0.00010590602605288241]
film never: [9, 0.014446227929373997]
itself is: [9, 0.13636363636363635]
snow: [9, 0.00010590602605288241]
spark: [9, 0.00010590602605288241]
way through: [9, 0.06818181818181818]
unfocused: [9, 0.00010590602605288241]
appealing: [9, 0.00010590602605288241]
excellent: [9, 0.00010590602605288241]
cause: [9, 0.00010590602605288241]
first-time: [9, 0.00010590602605288241]
an interesting: [9, 0.015873015873015872]
presence: [9, 0.00010590602605288241]
peter: [9, 0.00010590602605288241]
as he: [9, 0.009761388286334056]
muddled: [9, 0.00010590602605288241]
see a: [9, 0.10975609756097561]
usually: [9, 0.00010590602605288241]
good movie: [9, 0.05027932960893855]
haven't: [9, 0.00010590602605288241]
ingredients: [9, 0.00010590602605288241]
needed: [9, 0.00010590602605288241]
confusing: [9, 0.00010590602605288241]
potentially: [9, 0.00010590602605288241]
mayhem: [9, 0.00010590602605288241]
you are: [9, 0.022613065326633167]
expected: [9, 0.00010590602605288241]
no sense: [9, 0.033707865168539325]
be more: [9, 0.01730769230769231]
general: [9, 0.00010590602605288241]
pow: [9, 0.00010590602605288241]
pure: [9, 0.00010590602605288241]
twists: [9, 0.00010590602605288241]
lackluster: [9, 0.00010590602605288241]
weight of: [9, 0.6923076923076923]
relentlessly: [9, 0.00010590602605288241]
i saw: [9, 0.031578947368421054]
i could: [9, 0.031578947368421054]
era: [9, 0.00010590602605288241]
comedic: [9, 0.00010590602605288241]
sight: [9, 0.00010590602605288241]
first film: [9, 0.14516129032258066]
sea: [9, 0.00010590602605288241]
hip: [9, 0.00010590602605288241]
cliched: [9, 0.00010590602605288241]
issue: [9, 0.00010590602605288241]
with no: [9, 0.013293943870014771]
/: [9, 0.00010590602605288241]
i would: [9, 0.031578947368421054]
hip-hop: [9, 0.00010590602605288241]
couple: [9, 0.00010590602605288241]
kid: [9, 0.00010590602605288241]
little too: [9, 0.05202312138728324]
talking: [9, 0.00010590602605288241]
its story: [9, 0.014150943396226415]
tale of: [9, 0.19148936170212766]
unintentionally: [9, 0.00010590602605288241]
it's difficult: [9, 0.016216216216216217]
than this: [9, 0.02356020942408377]
we get: [9, 0.08256880733944955]
feels as: [9, 0.08490566037735849]
own good: [9, 0.09375]
busy: [9, 0.00010590602605288241]
white: [9, 0.00010590602605288241]
meant: [9, 0.00010590602605288241]
guns: [9, 0.00010590602605288241]
master of: [9, 0.6923076923076923]
listless: [9, 0.00010590602605288241]
witless: [9, 0.00010590602605288241]
stunt: [9, 0.00010590602605288241]
contains: [9, 0.00010590602605288241]
surprises: [9, 0.00010590602605288241]
blue crush: [9, 0.9]
blade: [9, 0.00010590602605288241]
far from: [9, 0.1267605633802817]
endeavor: [9, 0.00010590602605288241]
unimaginative: [9, 0.00010590602605288241]
character and: [9, 0.12162162162162163]
spectacle: [9, 0.00010590602605288241]
liked: [9, 0.00010590602605288241]
lacking in: [9, 0.42857142857142855]
has made: [9, 0.02727272727272727]
children's: [9, 0.00010590602605288241]
worse than: [9, 0.3333333333333333]
frequently: [9, 0.00010590602605288241]
chris: [9, 0.00010590602605288241]
serving: [9, 0.00010590602605288241]
designed to: [9, 0.6923076923076923]
main: [9, 0.00010590602605288241]
personality: [9, 0.00010590602605288241]
fears: [9, 0.00010590602605288241]
are not: [9, 0.025]
ms: [9, 0.00010590602605288241]
just not: [9, 0.03103448275862069]
tragic: [9, 0.00010590602605288241]
politics: [9, 0.00010590602605288241]
feel of: [9, 0.13043478260869565]
picture is: [9, 0.15789473684210525]
values: [9, 0.00010590602605288241]
lot more: [9, 0.15254237288135594]
same old: [9, 0.13432835820895522]
absolutely: [9, 0.00010590602605288241]
jason: [9, 0.00010590602605288241]
x: [9, 0.00010590602605288241]
made by: [9, 0.08256880733944955]
slick: [9, 0.00010590602605288241]
test: [9, 0.00010590602605288241]
xxx: [9, 0.00010590602605288241]
as you: [9, 0.009761388286334056]
strictly: [9, 0.00010590602605288241]
provide: [9, 0.00010590602605288241]
halfway: [9, 0.00010590602605288241]
important: [9, 0.00010590602605288241]
benigni: [9, 0.00010590602605288241]
with too: [9, 0.013293943870014771]
mark: [9, 0.00010590602605288241]
apparent: [9, 0.00010590602605288241]
credibility: [9, 0.00010590602605288241]
fall: [9, 0.00010590602605288241]
smug: [9, 0.00010590602605288241]
center: [9, 0.00010590602605288241]
makes a: [9, 0.08333333333333333]
help: [9, 0.00010590602605288241]
went: [9, 0.00010590602605288241]
filled: [9, 0.00010590602605288241]
filled with: [9, 1.0]
worthy: [9, 0.00010590602605288241]
disbelief: [9, 0.00010590602605288241]
broad: [9, 0.00010590602605288241]
fashion: [9, 0.00010590602605288241]
impostor: [9, 0.00010590602605288241]
bunch of: [9, 0.9]
further: [9, 0.00010590602605288241]
wife: [9, 0.00010590602605288241]
relationship: [9, 0.00010590602605288241]
sandler: [9, 0.00010590602605288241]
james: [9, 0.00010590602605288241]
strange: [9, 0.00010590602605288241]
before the: [9, 0.13432835820895522]
folks: [9, 0.00010590602605288241]
directing: [9, 0.00010590602605288241]
vision: [9, 0.00010590602605288241]
channel: [9, 0.00010590602605288241]
scenario: [9, 0.00010590602605288241]
may find: [9, 0.08653846153846154]
digital: [9, 0.00010590602605288241]
you feel: [9, 0.022613065326633167]
despite its: [9, 0.13846153846153847]
near: [9, 0.00010590602605288241]
nothing about: [9, 0.0743801652892562]
find it: [8, 0.14285714285714285]
exploitative: [8, 9.413868982478437e-05]
vapid: [8, 9.413868982478437e-05]
not so: [8, 0.01834862385321101]
served: [8, 9.413868982478437e-05]
relatively: [8, 9.413868982478437e-05]
loose: [8, 9.413868982478437e-05]
interesting but: [8, 0.1095890410958904]
stock: [8, 9.413868982478437e-05]
rollerball: [8, 9.413868982478437e-05]
schneider: [8, 9.413868982478437e-05]
imitation: [8, 9.413868982478437e-05]
believe that: [8, 0.3333333333333333]
long as: [8, 0.07407407407407407]
parody: [8, 9.413868982478437e-05]
mere: [8, 9.413868982478437e-05]
going on: [8, 0.1568627450980392]
sleep: [8, 9.413868982478437e-05]
process: [8, 9.413868982478437e-05]
ordinary: [8, 9.413868982478437e-05]
honest: [8, 9.413868982478437e-05]
watchable: [8, 9.413868982478437e-05]
start to: [8, 0.42105263157894735]
poetic: [8, 9.413868982478437e-05]
pity: [8, 9.413868982478437e-05]
took: [8, 9.413868982478437e-05]
desperate: [8, 9.413868982478437e-05]
camp: [8, 9.413868982478437e-05]
sharp: [8, 9.413868982478437e-05]
isn't as: [8, 0.06896551724137931]
get a: [8, 0.08247422680412371]
faith: [8, 9.413868982478437e-05]
through it: [8, 0.07407407407407407]
built: [8, 9.413868982478437e-05]
we don't: [8, 0.07339449541284404]
festival: [8, 9.413868982478437e-05]
large: [8, 9.413868982478437e-05]
but never: [8, 0.00935672514619883]
perfect: [8, 9.413868982478437e-05]
laughter: [8, 9.413868982478437e-05]
team: [8, 9.413868982478437e-05]
needs to: [8, 0.38095238095238093]
one that: [8, 0.0221606648199446]
interested in: [8, 0.7272727272727273]
saying: [8, 9.413868982478437e-05]
movie a: [8, 0.010554089709762533]
perfectly: [8, 9.413868982478437e-05]
incredibly: [8, 9.413868982478437e-05]
makers: [8, 9.413868982478437e-05]
are the: [8, 0.022222222222222223]
disappointed: [8, 9.413868982478437e-05]
hook: [8, 9.413868982478437e-05]
overlong: [8, 9.413868982478437e-05]
or at: [8, 0.024242424242424242]
una: [8, 9.413868982478437e-05]
el: [8, 9.413868982478437e-05]
wilder: [8, 9.413868982478437e-05]
not that: [8, 0.01834862385321101]
van wilder: [8, 0.8]
members: [8, 9.413868982478437e-05]
funniest: [8, 9.413868982478437e-05]
rare: [8, 9.413868982478437e-05]
realized: [8, 9.413868982478437e-05]
title character: [8, 0.14814814814814814]
move: [8, 9.413868982478437e-05]
you want: [8, 0.020100502512562814]
fat: [8, 9.413868982478437e-05]
how bad: [8, 0.07547169811320754]
sinks: [8, 9.413868982478437e-05]
parker: [8, 9.413868982478437e-05]
film in: [8, 0.012841091492776886]
offering: [8, 9.413868982478437e-05]
i found: [8, 0.028070175438596492]
sequels: [8, 9.413868982478437e-05]
predictably: [8, 9.413868982478437e-05]
well-intentioned: [8, 9.413868982478437e-05]
talk: [8, 9.413868982478437e-05]
soon: [8, 9.413868982478437e-05]
beat: [8, 9.413868982478437e-05]
drags: [8, 9.413868982478437e-05]
isn't much: [8, 0.06896551724137931]
much better: [8, 0.034482758620689655]
wannabe: [8, 9.413868982478437e-05]
empathy: [8, 9.413868982478437e-05]
feels more: [8, 0.07547169811320754]
approach to: [8, 0.42105263157894735]
at every: [8, 0.02359882005899705]
powers: [8, 9.413868982478437e-05]
inspired: [8, 9.413868982478437e-05]
your head: [8, 0.06201550387596899]
road: [8, 9.413868982478437e-05]
girls: [8, 9.413868982478437e-05]
combination: [8, 9.413868982478437e-05]
combination of: [8, 1.0]
spoof: [8, 9.413868982478437e-05]
settles: [8, 9.413868982478437e-05]
dogs: [8, 9.413868982478437e-05]
made the: [8, 0.07339449541284404]
spend: [8, 9.413868982478437e-05]
premise is: [8, 0.1702127659574468]
pool: [8, 9.413868982478437e-05]
saccharine: [8, 9.413868982478437e-05]
nostalgia: [8, 9.413868982478437e-05]
using: [8, 9.413868982478437e-05]
hybrid: [8, 9.413868982478437e-05]
company: [8, 9.413868982478437e-05]
believable: [8, 9.413868982478437e-05]
interesting to: [8, 0.1095890410958904]
saving: [8, 9.413868982478437e-05]
ryan: [8, 9.413868982478437e-05]
one long: [8, 0.0221606648199446]
made me: [8, 0.07339449541284404]
straight to: [8, 0.38095238095238093]
rush: [8, 9.413868982478437e-05]
make this: [8, 0.06299212598425197]
walk: [8, 9.413868982478437e-05]
jokes are: [8, 0.19047619047619047]
slasher: [8, 9.413868982478437e-05]
killer: [8, 9.413868982478437e-05]
misses: [8, 9.413868982478437e-05]
scattered: [8, 9.413868982478437e-05]
very bad: [8, 0.06153846153846154]
soulless: [8, 9.413868982478437e-05]
trappings: [8, 9.413868982478437e-05]
length: [8, 9.413868982478437e-05]
windtalkers: [8, 9.413868982478437e-05]
just about: [8, 0.027586206896551724]
before it: [8, 0.11940298507462686]
public: [8, 9.413868982478437e-05]
kung pow: [8, 0.8]
gag: [8, 9.413868982478437e-05]
come up: [8, 0.14545454545454545]
what we: [8, 0.0425531914893617]
third: [8, 9.413868982478437e-05]
may have: [8, 0.07692307692307693]
enough of: [8, 0.05714285714285714]
all over: [8, 0.022727272727272728]
cable: [8, 9.413868982478437e-05]
dealing: [8, 9.413868982478437e-05]
4ever: [8, 9.413868982478437e-05]
male: [8, 9.413868982478437e-05]
notion: [8, 9.413868982478437e-05]
events: [8, 9.413868982478437e-05]
featuring: [8, 9.413868982478437e-05]
delivered: [8, 9.413868982478437e-05]
across as: [8, 0.5]
resembles: [8, 9.413868982478437e-05]
woody allen: [8, 0.7272727272727273]
what it: [8, 0.0425531914893617]
effective: [8, 9.413868982478437e-05]
ship: [8, 9.413868982478437e-05]
man who: [8, 0.18604651162790697]
monty: [8, 9.413868982478437e-05]
writers: [8, 9.413868982478437e-05]
national: [8, 9.413868982478437e-05]
warning: [8, 9.413868982478437e-05]
see this: [8, 0.0975609756097561]
shooting: [8, 9.413868982478437e-05]
make you: [8, 0.06299212598425197]
giant: [8, 9.413868982478437e-05]
inoffensive: [8, 9.413868982478437e-05]
no more: [8, 0.0299625468164794]
grace: [8, 9.413868982478437e-05]
achieves: [8, 9.413868982478437e-05]
frame: [8, 9.413868982478437e-05]
elements of: [8, 0.42105263157894735]
you to: [8, 0.020100502512562814]
has to: [8, 0.024242424242424242]
pretension: [8, 9.413868982478437e-05]
madonna: [8, 9.413868982478437e-05]
eye: [8, 9.413868982478437e-05]
blood: [8, 9.413868982478437e-05]
doesn't work: [8, 0.05228758169934641]
favor: [8, 9.413868982478437e-05]
endless: [8, 9.413868982478437e-05]
until the: [8, 0.4444444444444444]
successful: [8, 9.413868982478437e-05]
few laughs: [8, 0.0963855421686747]
laughable: [8, 9.413868982478437e-05]
delivery: [8, 9.413868982478437e-05]
thinks it: [8, 0.6153846153846154]
logic: [8, 9.413868982478437e-05]
handful: [8, 9.413868982478437e-05]
handful of: [8, 1.0]
number: [8, 9.413868982478437e-05]
story of: [8, 0.03636363636363636]
something to: [8, 0.07079646017699115]
body: [8, 9.413868982478437e-05]
totally: [8, 9.413868982478437e-05]
wilson: [8, 9.413868982478437e-05]
easy to: [8, 0.36363636363636365]
staged: [8, 9.413868982478437e-05]
mix of: [8, 0.8]
comes to: [8, 0.125]
bottom: [8, 9.413868982478437e-05]
serving sara: [8, 0.8888888888888888]
lost in: [8, 0.4]
bitter: [8, 9.413868982478437e-05]
or not: [8, 0.024242424242424242]
cast is: [8, 0.13114754098360656]
not really: [8, 0.01834862385321101]
stomach: [8, 9.413868982478437e-05]
lesson: [8, 9.413868982478437e-05]
film the: [8, 0.012841091492776886]
all fears: [8, 0.022727272727272728]
overcome: [8, 9.413868982478437e-05]
interest in: [8, 0.22857142857142856]
story about: [8, 0.03636363636363636]
not an: [8, 0.01834862385321101]
collateral: [8, 9.413868982478437e-05]
sympathy: [8, 9.413868982478437e-05]
complicated: [8, 9.413868982478437e-05]
collateral damage: [8, 1.0]
after a: [8, 0.12121212121212122]
down to: [8, 0.0963855421686747]
nature of: [8, 0.5333333333333333]
work of: [8, 0.08247422680412371]
one's: [8, 9.413868982478437e-05]
performers: [8, 9.413868982478437e-05]
wooden: [8, 9.413868982478437e-05]
brilliant: [8, 9.413868982478437e-05]
who's: [8, 9.413868982478437e-05]
low-budget: [8, 9.413868982478437e-05]
looked: [8, 9.413868982478437e-05]
precious: [8, 9.413868982478437e-05]
violent: [8, 9.413868982478437e-05]
moviegoers: [8, 9.413868982478437e-05]
try to: [8, 0.4444444444444444]
manner: [8, 9.413868982478437e-05]
'70s: [8, 9.413868982478437e-05]
false: [8, 9.413868982478437e-05]
stilted: [8, 9.413868982478437e-05]
dreams: [8, 9.413868982478437e-05]
their own: [8, 0.06837606837606838]
flash: [8, 9.413868982478437e-05]
you've seen: [8, 0.26666666666666666]
excitement: [8, 9.413868982478437e-05]
crass: [8, 9.413868982478437e-05]
stylish: [8, 9.413868982478437e-05]
onto: [8, 9.413868982478437e-05]
old-fashioned: [8, 9.413868982478437e-05]
realism: [8, 9.413868982478437e-05]
grating: [8, 9.413868982478437e-05]
makes you: [8, 0.07407407407407407]
knows: [8, 9.413868982478437e-05]
curiosity: [8, 9.413868982478437e-05]
shock: [8, 9.413868982478437e-05]
unconvincing: [8, 9.413868982478437e-05]
stereotypes: [8, 9.413868982478437e-05]
development: [8, 9.413868982478437e-05]
exploitation: [8, 9.413868982478437e-05]
figure out: [8, 0.6666666666666666]
early: [8, 9.413868982478437e-05]
have an: [8, 0.02197802197802198]
sketch: [8, 9.413868982478437e-05]
anything more: [8, 0.1568627450980392]
happened: [8, 9.413868982478437e-05]
fiction: [8, 9.413868982478437e-05]
onscreen: [8, 9.413868982478437e-05]
it's as: [8, 0.014414414414414415]
preposterous: [8, 9.413868982478437e-05]
following: [8, 9.413868982478437e-05]
random: [8, 9.413868982478437e-05]
disjointed: [8, 9.413868982478437e-05]
created: [8, 9.413868982478437e-05]
though it: [8, 0.11764705882352941]
blair: [8, 9.413868982478437e-05]
jokes and: [8, 0.19047619047619047]
lets: [8, 9.413868982478437e-05]
dud: [8, 9.413868982478437e-05]
writing and: [8, 0.34782608695652173]
merit: [8, 9.413868982478437e-05]
reign: [8, 9.413868982478437e-05]
must have: [8, 0.4444444444444444]
example: [8, 9.413868982478437e-05]
things up: [8, 0.11428571428571428]
by way: [8, 0.01927710843373494]
implausible: [8, 9.413868982478437e-05]
epic: [8, 9.413868982478437e-05]
be funny: [8, 0.015384615384615385]
miserable: [8, 9.413868982478437e-05]
boring and: [8, 0.14814814814814814]
comedy and: [8, 0.049689440993788817]
including: [8, 9.413868982478437e-05]
basically: [8, 9.413868982478437e-05]
solid: [8, 9.413868982478437e-05]
script and: [8, 0.08]
nasty: [8, 9.413868982478437e-05]
due: [8, 9.413868982478437e-05]
chaotic: [8, 9.413868982478437e-05]
witch: [8, 9.413868982478437e-05]
men in: [8, 0.25806451612903225]
high crimes: [8, 0.18181818181818182]
as one: [8, 0.008676789587852495]
for two: [8, 0.010484927916120577]
serves: [8, 9.413868982478437e-05]
movies like: [8, 0.08247422680412371]
alas: [8, 9.413868982478437e-05]
graphic: [7, 8.237135359668632e-05]
one more: [7, 0.019390581717451522]
more time: [7, 0.016826923076923076]
serial: [7, 8.237135359668632e-05]
joe: [7, 8.237135359668632e-05]
pedestrian: [7, 8.237135359668632e-05]
rob: [7, 8.237135359668632e-05]
excuse for: [7, 0.5384615384615384]
issues: [7, 8.237135359668632e-05]
subtle: [7, 8.237135359668632e-05]
film that's: [7, 0.011235955056179775]
mood: [7, 8.237135359668632e-05]
movie you: [7, 0.009234828496042216]
revenge: [7, 8.237135359668632e-05]
thrown: [7, 8.237135359668632e-05]
get to: [7, 0.07216494845360824]
ecks: [7, 8.237135359668632e-05]
movie like: [7, 0.009234828496042216]
ambition: [7, 8.237135359668632e-05]
prison: [7, 8.237135359668632e-05]
inconsequential: [7, 8.237135359668632e-05]
e: [7, 8.237135359668632e-05]
spiritual: [7, 8.237135359668632e-05]
stretched: [7, 8.237135359668632e-05]
after-school special: [7, 0.7777777777777778]
watching the: [7, 0.1044776119402985]
scenes that: [7, 0.1346153846153846]
here is: [7, 0.08641975308641975]
if they: [7, 0.02564102564102564]
despite some: [7, 0.1076923076923077]
coherent: [7, 8.237135359668632e-05]
doesn't even: [7, 0.0457516339869281]
seem like: [7, 0.1206896551724138]
you get: [7, 0.017587939698492462]
roger: [7, 8.237135359668632e-05]
glory: [7, 8.237135359668632e-05]
even in: [7, 0.034653465346534656]
its way: [7, 0.0110062893081761]
punch: [7, 8.237135359668632e-05]
without a: [7, 0.08974358974358974]
get the: [7, 0.07216494845360824]
halloween: [7, 8.237135359668632e-05]
can only: [7, 0.04093567251461988]
an attempt: [7, 0.012345679012345678]
has little: [7, 0.021212121212121213]
something about: [7, 0.061946902654867256]
huge: [7, 8.237135359668632e-05]
happen: [7, 8.237135359668632e-05]
mechanical: [7, 8.237135359668632e-05]
present: [7, 8.237135359668632e-05]
moments and: [7, 0.1346153846153846]
are a: [7, 0.019444444444444445]
much fun: [7, 0.03017241379310345]
trouble every: [7, 0.5384615384615384]
every day: [7, 0.06140350877192982]
directors: [7, 8.237135359668632e-05]
resonance: [7, 8.237135359668632e-05]
space: [7, 8.237135359668632e-05]
sandler's: [7, 8.237135359668632e-05]
but that: [7, 0.008187134502923977]
share: [7, 8.237135359668632e-05]
holiday: [7, 8.237135359668632e-05]
little else: [7, 0.04046242774566474]
as bad: [7, 0.007592190889370932]
y: [7, 8.237135359668632e-05]
unfaithful: [7, 8.237135359668632e-05]
trek: [7, 8.237135359668632e-05]
eight: [7, 8.237135359668632e-05]
up and: [7, 0.03153153153153153]
m: [7, 8.237135359668632e-05]
an action: [7, 0.012345679012345678]
remains a: [7, 0.3181818181818182]
no amount: [7, 0.026217228464419477]
but if: [7, 0.008187134502923977]
terrific: [7, 8.237135359668632e-05]
like one: [7, 0.015945330296127564]
goes on: [7, 0.17073170731707318]
emotions: [7, 8.237135359668632e-05]
loud and: [7, 0.2916666666666667]
but more: [7, 0.008187134502923977]
finale: [7, 8.237135359668632e-05]
wondering: [7, 8.237135359668632e-05]
with more: [7, 0.0103397341211226]
bad it: [7, 0.03398058252427184]
life is: [7, 0.09090909090909091]
predecessor: [7, 8.237135359668632e-05]
myself: [7, 8.237135359668632e-05]
exhausting: [7, 8.237135359668632e-05]
down by: [7, 0.08433734939759036]
surrounding: [7, 8.237135359668632e-05]
no doubt: [7, 0.026217228464419477]
holds: [7, 8.237135359668632e-05]
limited: [7, 8.237135359668632e-05]
appeal to: [7, 0.4666666666666667]
references: [7, 8.237135359668632e-05]
nothing else: [7, 0.05785123966942149]
it's an: [7, 0.012612612612612612]
speaking: [7, 8.237135359668632e-05]
such an: [7, 0.0958904109589041]
clue: [7, 8.237135359668632e-05]
cloying: [7, 8.237135359668632e-05]
copy: [7, 8.237135359668632e-05]
movie itself: [7, 0.009234828496042216]
been made: [7, 0.04142011834319527]
leaving: [7, 8.237135359668632e-05]
despite a: [7, 0.1076923076923077]
its lack: [7, 0.0110062893081761]
follows: [7, 8.237135359668632e-05]
animated: [7, 8.237135359668632e-05]
script that: [7, 0.07]
not quite: [7, 0.016055045871559634]
remain: [7, 8.237135359668632e-05]
by-the-numbers: [7, 8.237135359668632e-05]
g: [7, 8.237135359668632e-05]
during the: [7, 0.35]
teenagers: [7, 8.237135359668632e-05]
things to: [7, 0.1]
very very: [7, 0.05384615384615385]
here's: [7, 8.237135359668632e-05]
advice: [7, 8.237135359668632e-05]
paper: [7, 8.237135359668632e-05]
b-movie: [7, 8.237135359668632e-05]
mention: [7, 8.237135359668632e-05]
impression: [7, 8.237135359668632e-05]
it's really: [7, 0.012612612612612612]
deuces: [7, 8.237135359668632e-05]
type of: [7, 0.7]
deuces wild: [7, 1.0]
movie does: [7, 0.009234828496042216]
hours of: [7, 0.22580645161290322]
computer: [7, 8.237135359668632e-05]
various: [7, 8.237135359668632e-05]
charms: [7, 8.237135359668632e-05]
situations and: [7, 0.3888888888888889]
source: [7, 8.237135359668632e-05]
because the: [7, 0.11290322580645161]
fable: [7, 8.237135359668632e-05]
propaganda: [7, 8.237135359668632e-05]
conflict: [7, 8.237135359668632e-05]
balance: [7, 8.237135359668632e-05]
context: [7, 8.237135359668632e-05]
woo: [7, 8.237135359668632e-05]
just isn't: [7, 0.02413793103448276]
martin: [7, 8.237135359668632e-05]
limp: [7, 8.237135359668632e-05]
not one: [7, 0.016055045871559634]
but for: [7, 0.008187134502923977]
christmas: [7, 8.237135359668632e-05]
suited: [7, 8.237135359668632e-05]
living: [7, 8.237135359668632e-05]
justice: [7, 8.237135359668632e-05]
script by: [7, 0.07]
genuinely: [7, 8.237135359668632e-05]
visuals: [7, 8.237135359668632e-05]
that's not: [7, 0.07865168539325842]
motion: [7, 8.237135359668632e-05]
well be: [7, 0.07865168539325842]
starts off: [7, 0.2692307692307692]
absurd: [7, 8.237135359668632e-05]
memory: [7, 8.237135359668632e-05]
more interesting: [7, 0.016826923076923076]
mile: [7, 8.237135359668632e-05]
movie for: [7, 0.009234828496042216]
but when: [7, 0.008187134502923977]
on video: [7, 0.014861995753715499]
begin: [7, 8.237135359668632e-05]
talents: [7, 8.237135359668632e-05]
what a: [7, 0.03723404255319149]
are as: [7, 0.019444444444444445]
you don't: [7, 0.017587939698492462]
disposable: [7, 8.237135359668632e-05]
just the: [7, 0.02413793103448276]
dramatically: [7, 8.237135359668632e-05]
anything but: [7, 0.13725490196078433]
emotion: [7, 8.237135359668632e-05]
songs: [7, 8.237135359668632e-05]
nights: [7, 8.237135359668632e-05]
terribly: [7, 8.237135359668632e-05]
considering: [7, 8.237135359668632e-05]
at that: [7, 0.02064896755162242]
film so: [7, 0.011235955056179775]
morality: [7, 8.237135359668632e-05]
let's: [7, 8.237135359668632e-05]
wrote: [7, 8.237135359668632e-05]
funny but: [7, 0.06862745098039216]
end of: [7, 0.10294117647058823]
rap: [7, 8.237135359668632e-05]
released: [7, 8.237135359668632e-05]
late: [7, 8.237135359668632e-05]
time with: [7, 0.03867403314917127]
self-conscious: [7, 8.237135359668632e-05]
horror film: [7, 0.23333333333333334]
superior: [7, 8.237135359668632e-05]
friends: [7, 8.237135359668632e-05]
paced: [7, 8.237135359668632e-05]
humorless: [7, 8.237135359668632e-05]
ritchie: [7, 8.237135359668632e-05]
need of: [7, 0.17073170731707318]
couple of: [7, 0.7777777777777778]
market: [7, 8.237135359668632e-05]
category: [7, 8.237135359668632e-05]
suggests: [7, 8.237135359668632e-05]
grant: [7, 8.237135359668632e-05]
if only: [7, 0.02564102564102564]
creativity: [7, 8.237135359668632e-05]
sorry: [7, 8.237135359668632e-05]
baffling: [7, 8.237135359668632e-05]
wallace: [7, 8.237135359668632e-05]
thing that: [7, 0.07446808510638298]
film which: [7, 0.011235955056179775]
clichéd: [7, 8.237135359668632e-05]
inspiring: [7, 8.237135359668632e-05]
japanese: [7, 8.237135359668632e-05]
story that: [7, 0.031818181818181815]
meant to: [7, 0.7777777777777778]
arts: [7, 8.237135359668632e-05]
with little: [7, 0.0103397341211226]
remotely: [7, 8.237135359668632e-05]
worst of: [7, 0.1346153846153846]
sensitive: [7, 8.237135359668632e-05]
sounds: [7, 8.237135359668632e-05]
britney: [7, 8.237135359668632e-05]
levels: [7, 8.237135359668632e-05]
oh: [7, 8.237135359668632e-05]
can see: [7, 0.04093567251461988]
flimsy: [7, 8.237135359668632e-05]
these days: [7, 0.1206896551724138]
design: [7, 8.237135359668632e-05]
dvd: [7, 8.237135359668632e-05]
pleasant: [7, 8.237135359668632e-05]
have the: [7, 0.019230769230769232]
comedy about: [7, 0.043478260869565216]
someone who: [7, 0.3181818181818182]
disappointment: [7, 8.237135359668632e-05]
demographic: [7, 8.237135359668632e-05]
king: [7, 8.237135359668632e-05]
work but: [7, 0.07216494845360824]
opening: [7, 8.237135359668632e-05]
experience of: [7, 0.3181818181818182]
labored: [7, 8.237135359668632e-05]
blend: [7, 8.237135359668632e-05]
generally: [7, 8.237135359668632e-05]
clunker: [7, 8.237135359668632e-05]
choices: [7, 8.237135359668632e-05]
grow: [7, 8.237135359668632e-05]
i'll: [7, 8.237135359668632e-05]
store: [7, 8.237135359668632e-05]
come to: [7, 0.12727272727272726]
you see: [7, 0.017587939698492462]
has nothing: [7, 0.021212121212121213]
going for: [7, 0.13725490196078433]
