with: [883, 0.010551598871946847]
consistently: [11, 0.00013144687156445677]
see a: [11, 0.11458333333333333]
tells: [11, 0.00013144687156445677]
endearing: [11, 0.00013144687156445677]
mix of: [11, 0.7857142857142857]
sci-fi: [11, 0.00013144687156445677]
job of: [11, 0.4782608695652174]
pop: [11, 0.00013144687156445677]
motion: [11, 0.00013144687156445677]
powers: [11, 0.00013144687156445677]
fire: [11, 0.00013144687156445677]
gags: [11, 0.00013144687156445677]
directors: [11, 0.00013144687156445677]
industry: [11, 0.00013144687156445677]
land: [11, 0.00013144687156445677]
we've: [11, 0.00013144687156445677]
also a: [11, 0.1134020618556701]
assured: [11, 0.00013144687156445677]
when you: [11, 0.102803738317757]
comes to: [11, 0.22448979591836735]
white: [11, 0.00013144687156445677]
country: [11, 0.00013144687156445677]
exercise: [11, 0.00013144687156445677]
scenes of: [11, 0.24444444444444444]
provides a: [11, 0.39285714285714285]
t: [11, 0.00013144687156445677]
york: [11, 0.00013144687156445677]
new york: [11, 0.1]
up on: [11, 0.07142857142857142]
believable: [11, 0.00013144687156445677]
peter: [10, 0.00011949715596768797]
emerges: [10, 0.00011949715596768797]
top: [10, 0.00011949715596768797]
insight into: [10, 0.5555555555555556]
combination: [10, 0.00011949715596768797]
willing: [10, 0.00011949715596768797]
willing to: [10, 1.0]
doing: [10, 0.00011949715596768797]
helps: [10, 0.00011949715596768797]
kid: [10, 0.00011949715596768797]
masterful: [10, 0.00011949715596768797]
forgettable: [10, 0.00011949715596768797]
crush: [10, 0.00011949715596768797]
easy to: [10, 0.3125]
called: [10, 0.00011949715596768797]
cheap: [10, 0.00011949715596768797]
you'd: [10, 0.00011949715596768797]
behind the: [10, 0.7142857142857143]
undeniably: [10, 0.00011949715596768797]
involved: [10, 0.00011949715596768797]
just the: [10, 0.06756756756756757]
adolescent: [10, 0.00011949715596768797]
footage: [10, 0.00011949715596768797]
five: [10, 0.00011949715596768797]
life of: [10, 0.06944444444444445]
blue: [10, 0.00011949715596768797]
what the: [10, 0.044444444444444446]
documentary about: [10, 0.11627906976744186]
flicks: [10, 0.00011949715596768797]
format: [10, 0.00011949715596768797]
like this: [10, 0.03558718861209965]
coming: [10, 0.00011949715596768797]
but what: [10, 0.01278772378516624]
goofy: [10, 0.00011949715596768797]
potent: [10, 0.00011949715596768797]
honesty: [10, 0.00011949715596768797]
offering: [10, 0.00011949715596768797]
what a: [10, 0.044444444444444446]
entertain: [10, 0.00011949715596768797]
paced: [10, 0.00011949715596768797]
time is: [10, 0.06329113924050633]
return to: [10, 0.8333333333333334]
complexity: [10, 0.00011949715596768797]
understands: [10, 0.00011949715596768797]
admirable: [10, 0.00011949715596768797]
[a]: [10, 0.00011949715596768797]
couldn't: [10, 0.00011949715596768797]
much as: [10, 0.06493506493506493]
poem: [10, 0.00011949715596768797]
unflinching: [10, 0.00011949715596768797]
trip: [10, 0.00011949715596768797]
attempt: [10, 0.00011949715596768797]
playing: [10, 0.00011949715596768797]
might not: [10, 0.16666666666666666]
even as: [10, 0.05555555555555555]
say that: [10, 0.2777777777777778]
talk: [10, 0.00011949715596768797]
greek: [10, 0.00011949715596768797]
big fat: [10, 0.12987012987012986]
stirring: [10, 0.00011949715596768797]
you'll be: [10, 0.21739130434782608]
you could: [10, 0.020242914979757085]
one thing: [10, 0.0273224043715847]
italian: [10, 0.00011949715596768797]
based on: [10, 0.7142857142857143]
couple of: [10, 0.7142857142857143]
philosophical: [10, 0.00011949715596768797]
lyrical: [10, 0.00011949715596768797]
follow: [10, 0.00011949715596768797]
price: [10, 0.00011949715596768797]
pianist: [10, 0.00011949715596768797]
for an: [10, 0.014858841010401188]
report: [10, 0.00011949715596768797]
end of: [10, 0.2]
visuals: [10, 0.00011949715596768797]
breathtaking: [10, 0.00011949715596768797]
does a: [10, 0.1]
frailty: [10, 0.00011949715596768797]
characters': [10, 0.00011949715596768797]
they're: [10, 0.00011949715596768797]
sly: [10, 0.00011949715596768797]
festival: [10, 0.00011949715596768797]
fantastic: [10, 0.00011949715596768797]
brown: [10, 0.00011949715596768797]
x: [10, 0.00011949715596768797]
twisted: [10, 0.00011949715596768797]
way it: [10, 0.06097560975609756]
might have: [10, 0.16666666666666666]
adult: [10, 0.00011949715596768797]
deliver: [10, 0.00011949715596768797]
stays: [10, 0.00011949715596768797]
who's: [10, 0.00011949715596768797]
its audience: [10, 0.01430615164520744]
aren't: [10, 0.00011949715596768797]
current: [10, 0.00011949715596768797]
ingenious: [10, 0.00011949715596768797]
courage: [10, 0.00011949715596768797]
deft: [10, 0.00011949715596768797]
gradually: [10, 0.00011949715596768797]
as its: [10, 0.011376564277588168]
bizarre: [10, 0.00011949715596768797]
explores: [10, 0.00011949715596768797]
lots of: [10, 0.9090909090909091]
scary: [10, 0.00011949715596768797]
lacks in: [10, 0.47619047619047616]
films that: [10, 0.09174311926605505]
weird: [10, 0.00011949715596768797]
miller: [10, 0.00011949715596768797]
not quite: [10, 0.027247956403269755]
lack of: [10, 0.9090909090909091]
lies: [10, 0.00011949715596768797]
jones: [10, 0.00011949715596768797]
who has: [10, 0.04048582995951417]
finish: [10, 0.00011949715596768797]
raw: [10, 0.00011949715596768797]
dreams: [10, 0.00011949715596768797]
movie in: [10, 0.0196078431372549]
revealing: [10, 0.00011949715596768797]
richly: [10, 0.00011949715596768797]
roger: [10, 0.00011949715596768797]
has created: [10, 0.026385224274406333]
artistic: [10, 0.00011949715596768797]
tribute: [10, 0.00011949715596768797]
house: [10, 0.00011949715596768797]
answers: [10, 0.00011949715596768797]
way of: [10, 0.06097560975609756]
un: [10, 0.00011949715596768797]
without the: [10, 0.11235955056179775]
concerned: [10, 0.00011949715596768797]
cast of: [10, 0.1111111111111111]
tasty: [10, 0.00011949715596768797]
approach to: [10, 0.625]
could be: [10, 0.11904761904761904]
community: [10, 0.00011949715596768797]
usually: [10, 0.00011949715596768797]
angst: [10, 0.00011949715596768797]
heart of: [10, 0.11363636363636363]
carries: [10, 0.00011949715596768797]
hopeful: [10, 0.00011949715596768797]
twist: [10, 0.00011949715596768797]
treatment: [10, 0.00011949715596768797]
zone: [10, 0.00011949715596768797]
hardly: [10, 0.00011949715596768797]
edge of: [10, 0.6666666666666666]
water: [10, 0.00011949715596768797]
spectacle: [10, 0.00011949715596768797]
smarter: [10, 0.00011949715596768797]
comedy about: [10, 0.052083333333333336]
since the: [10, 0.2702702702702703]
father: [10, 0.00011949715596768797]
concept: [10, 0.00011949715596768797]
reminds: [10, 0.00011949715596768797]
time and: [10, 0.06329113924050633]
justice: [10, 0.00011949715596768797]
sadness: [10, 0.00011949715596768797]
king: [10, 0.00011949715596768797]
martin: [10, 0.00011949715596768797]
woman's: [10, 0.00011949715596768797]
for it: [10, 0.014858841010401188]
needed: [10, 0.00011949715596768797]
word: [10, 0.00011949715596768797]
del: [10, 0.00011949715596768797]
vision of: [9, 0.391304347826087]
hate: [9, 0.00010754744037091917]
well worth: [9, 0.07692307692307693]
extremely: [9, 0.00010754744037091917]
grandeur: [9, 0.00010754744037091917]
move: [9, 0.00010754744037091917]
anyone who: [9, 0.2647058823529412]
distinctive: [9, 0.00010754744037091917]
performance that: [9, 0.09375]
glimpse into: [9, 0.6428571428571429]
today: [9, 0.00010754744037091917]
games: [9, 0.00010754744037091917]
run: [9, 0.00010754744037091917]
songs: [9, 0.00010754744037091917]
any of: [9, 0.09090909090909091]
whatever: [9, 0.00010754744037091917]
bringing: [9, 0.00010754744037091917]
inner: [9, 0.00010754744037091917]
substance: [9, 0.00010754744037091917]
wait: [9, 0.00010754744037091917]
close to: [9, 0.45]
buoyant: [9, 0.00010754744037091917]
care about: [9, 0.36]
bourne: [9, 0.00010754744037091917]
sustain: [9, 0.00010754744037091917]
friends: [9, 0.00010754744037091917]
if it's: [9, 0.03409090909090909]
artists: [9, 0.00010754744037091917]
metaphor: [9, 0.00010754744037091917]
holocaust: [9, 0.00010754744037091917]
nor: [9, 0.00010754744037091917]
performers: [9, 0.00010754744037091917]
see this: [9, 0.09375]
may have: [9, 0.06382978723404255]
fair: [9, 0.00010754744037091917]
russian: [9, 0.00010754744037091917]
stars: [9, 0.00010754744037091917]
tries: [9, 0.00010754744037091917]
determined: [9, 0.00010754744037091917]
an old: [9, 0.011936339522546418]
has to: [9, 0.023746701846965697]
well-made: [9, 0.00010754744037091917]
intelligence and: [9, 0.5]
account: [9, 0.00010754744037091917]
uncompromising: [9, 0.00010754744037091917]
running time: [9, 0.8181818181818182]
traditional: [9, 0.00010754744037091917]
droll: [9, 0.00010754744037091917]
safe: [9, 0.00010754744037091917]
outside: [9, 0.00010754744037091917]
understand: [9, 0.00010754744037091917]
films of: [9, 0.08256880733944955]
taken: [9, 0.00010754744037091917]
foreign: [9, 0.00010754744037091917]
brilliantly: [9, 0.00010754744037091917]
not the: [9, 0.02452316076294278]
cultures: [9, 0.00010754744037091917]
filmed: [9, 0.00010754744037091917]
appreciate: [9, 0.00010754744037091917]
help but: [9, 0.32142857142857145]
very much: [9, 0.06666666666666667]
love the: [9, 0.06040268456375839]
development: [9, 0.00010754744037091917]
search: [9, 0.00010754744037091917]
speaks: [9, 0.00010754744037091917]
stands: [9, 0.00010754744037091917]
deadpan: [9, 0.00010754744037091917]
none: [9, 0.00010754744037091917]
fashion: [9, 0.00010754744037091917]
are a: [9, 0.02586206896551724]
offbeat: [9, 0.00010754744037091917]
necessary: [9, 0.00010754744037091917]
looking for: [9, 0.42857142857142855]
largely: [9, 0.00010754744037091917]
you're in: [9, 0.14516129032258066]
brain: [9, 0.00010754744037091917]
writer: [9, 0.00010754744037091917]
caper: [9, 0.00010754744037091917]
thinking: [9, 0.00010754744037091917]
worthy of: [9, 0.4090909090909091]
uplifting: [9, 0.00010754744037091917]
but one: [9, 0.011508951406649617]
bold: [9, 0.00010754744037091917]
food: [9, 0.00010754744037091917]
brutal: [9, 0.00010754744037091917]
lady: [9, 0.00010754744037091917]
marriage: [9, 0.00010754744037091917]
tough: [9, 0.00010754744037091917]
damn: [9, 0.00010754744037091917]
poignant and: [9, 0.391304347826087]
makes for: [9, 0.0625]
authentic: [9, 0.00010754744037091917]
recommend: [9, 0.00010754744037091917]
music and: [9, 0.14516129032258066]
quite a: [9, 0.15789473684210525]
focus: [9, 0.00010754744037091917]
break: [9, 0.00010754744037091917]
even a: [9, 0.05]
niro: [9, 0.00010754744037091917]
starts: [9, 0.00010754744037091917]
fun with: [9, 0.07964601769911504]
happen: [9, 0.00010754744037091917]
splendid: [9, 0.00010754744037091917]
you may: [9, 0.018218623481781375]
finest: [9, 0.00010754744037091917]
film in: [9, 0.010948905109489052]
matters: [9, 0.00010754744037091917]
levels: [9, 0.00010754744037091917]
isn't a: [9, 0.14516129032258066]
back to: [9, 0.19148936170212766]
further: [9, 0.00010754744037091917]
crazy: [9, 0.00010754744037091917]
integrity: [9, 0.00010754744037091917]
exquisitely: [9, 0.00010754744037091917]
tears: [9, 0.00010754744037091917]
sheer: [9, 0.00010754744037091917]
predecessor: [9, 0.00010754744037091917]
poetic: [9, 0.00010754744037091917]
washington: [9, 0.00010754744037091917]
both a: [9, 0.07894736842105263]
i liked: [9, 0.049723756906077346]
nuanced: [9, 0.00010754744037091917]
achieves: [9, 0.00010754744037091917]
give a: [9, 0.18]
spirited: [9, 0.00010754744037091917]
sobering: [9, 0.00010754744037091917]
smart and: [9, 0.1956521739130435]
compassion: [9, 0.00010754744037091917]
terrifying: [9, 0.00010754744037091917]
intrigue: [9, 0.00010754744037091917]
wanted: [9, 0.00010754744037091917]
cuts: [9, 0.00010754744037091917]
ice: [9, 0.00010754744037091917]
group: [9, 0.00010754744037091917]
be more: [9, 0.021479713603818614]
instead of: [9, 0.47368421052631576]
wrong: [9, 0.00010754744037091917]
promise: [9, 0.00010754744037091917]
wife: [9, 0.00010754744037091917]
delightfully: [9, 0.00010754744037091917]
with it: [9, 0.010192525481313703]
romp: [9, 0.00010754744037091917]
superbly: [9, 0.00010754744037091917]
adaptation of: [9, 0.45]
sea: [9, 0.00010754744037091917]
family film: [9, 0.11538461538461539]
leave you: [9, 0.32142857142857145]
public: [9, 0.00010754744037091917]
core: [9, 0.00010754744037091917]
tribute to: [9, 0.9]
event: [9, 0.00010754744037091917]
straight: [9, 0.00010754744037091917]
attention to: [9, 0.5625]
after the: [9, 0.21428571428571427]
rhythms: [9, 0.00010754744037091917]
only a: [9, 0.08737864077669903]
spite: [9, 0.00010754744037091917]
spite of: [9, 1.0]
outrageous: [9, 0.00010754744037091917]
resist: [9, 0.00010754744037091917]
has made: [9, 0.023746701846965697]
dead: [9, 0.00010754744037091917]
b: [9, 0.00010754744037091917]
see the: [9, 0.09375]
film a: [9, 0.010948905109489052]
so many: [9, 0.0430622009569378]
lane: [9, 0.00010754744037091917]
ago: [9, 0.00010754744037091917]
rewarding: [9, 0.00010754744037091917]
once again: [9, 0.19148936170212766]
derivative: [9, 0.00010754744037091917]
devastating: [9, 0.00010754744037091917]
has some: [9, 0.023746701846965697]
growing: [9, 0.00010754744037091917]
writer/director: [9, 0.00010754744037091917]
lovers: [9, 0.00010754744037091917]
um: [9, 0.00010754744037091917]
us in: [9, 0.057692307692307696]
unlikely: [9, 0.00010754744037091917]
finding: [9, 0.00010754744037091917]
seat: [9, 0.00010754744037091917]
gay: [9, 0.00010754744037091917]
made a: [9, 0.10714285714285714]
ring: [9, 0.00010754744037091917]
she's: [9, 0.00010754744037091917]
tom: [9, 0.00010754744037091917]
portrayal: [9, 0.00010754744037091917]
conviction: [9, 0.00010754744037091917]
imagine: [9, 0.00010754744037091917]
intensity: [9, 0.00010754744037091917]
noir: [9, 0.00010754744037091917]
an entertaining: [9, 0.011936339522546418]
image: [9, 0.00010754744037091917]
intoxicating: [9, 0.00010754744037091917]
number: [9, 0.00010754744037091917]
complicated: [9, 0.00010754744037091917]
mainstream: [9, 0.00010754744037091917]
movies that: [9, 0.08108108108108109]
band: [9, 0.00010754744037091917]
dragon: [9, 0.00010754744037091917]
members: [9, 0.00010754744037091917]
spider-man: [9, 0.00010754744037091917]
as any: [9, 0.010238907849829351]
families: [9, 0.00010754744037091917]
changing: [9, 0.00010754744037091917]
joyous: [9, 0.00010754744037091917]
feel like: [8, 0.13114754098360656]
who have: [8, 0.032388663967611336]
you want: [8, 0.016194331983805668]
talking: [8, 9.559772477415038e-05]
lived: [8, 9.559772477415038e-05]
mysteries: [8, 9.559772477415038e-05]
maintains: [8, 9.559772477415038e-05]
someone: [8, 9.559772477415038e-05]
effectively: [8, 9.559772477415038e-05]
whimsy: [8, 9.559772477415038e-05]
than any: [8, 0.028368794326241134]
draws: [8, 9.559772477415038e-05]
surely: [8, 9.559772477415038e-05]
movie a: [8, 0.01568627450980392]
creating: [8, 9.559772477415038e-05]
moves: [8, 9.559772477415038e-05]
rhythm: [8, 9.559772477415038e-05]
lips: [8, 9.559772477415038e-05]
beat: [8, 9.559772477415038e-05]
darkly: [8, 9.559772477415038e-05]
giant: [8, 9.559772477415038e-05]
features: [8, 9.559772477415038e-05]
eccentric: [8, 9.559772477415038e-05]
bullock: [8, 9.559772477415038e-05]
chilly: [8, 9.559772477415038e-05]
books: [8, 9.559772477415038e-05]
shocking: [8, 9.559772477415038e-05]
psychological drama: [8, 0.26666666666666666]
fierce: [8, 9.559772477415038e-05]
dangerous: [8, 9.559772477415038e-05]
series of: [8, 0.4]
example: [8, 9.559772477415038e-05]
comfort: [8, 9.559772477415038e-05]
delicately: [8, 9.559772477415038e-05]
masterfully: [8, 9.559772477415038e-05]
richer: [8, 9.559772477415038e-05]
loving: [8, 9.559772477415038e-05]
challenges: [8, 9.559772477415038e-05]
clarity: [8, 9.559772477415038e-05]
best film: [8, 0.04819277108433735]
view of: [8, 0.47058823529411764]
aside: [8, 9.559772477415038e-05]
incredibly: [8, 9.559772477415038e-05]
hong: [8, 9.559772477415038e-05]
directs: [8, 9.559772477415038e-05]
horrifying: [8, 9.559772477415038e-05]
song: [8, 9.559772477415038e-05]
above the: [8, 0.32]
photography: [8, 9.559772477415038e-05]
fear: [8, 9.559772477415038e-05]
grief and: [8, 0.5]
common: [8, 9.559772477415038e-05]
values: [8, 9.559772477415038e-05]
patience: [8, 9.559772477415038e-05]
seen in: [8, 0.12121212121212122]
engrossing and: [8, 0.25]
history and: [8, 0.14545454545454545]
scope: [8, 9.559772477415038e-05]
have the: [8, 0.03088803088803089]
results: [8, 9.559772477415038e-05]
neither: [8, 9.559772477415038e-05]
extreme: [8, 9.559772477415038e-05]
cinematography: [8, 9.559772477415038e-05]
fun and: [8, 0.07079646017699115]
walk: [8, 9.559772477415038e-05]
technical: [8, 9.559772477415038e-05]
gory: [8, 9.559772477415038e-05]
haven't: [8, 9.559772477415038e-05]
forgotten: [8, 9.559772477415038e-05]
like mike: [8, 0.028469750889679714]
its heart: [8, 0.011444921316165951]
superior: [8, 9.559772477415038e-05]
likable: [8, 9.559772477415038e-05]
aware: [8, 9.559772477415038e-05]
just a: [8, 0.05405405405405406]
must be: [8, 0.32]
be seen: [8, 0.01909307875894988]
work and: [8, 0.05755395683453238]
marvelous: [8, 9.559772477415038e-05]
you are: [8, 0.016194331983805668]
behavior: [8, 9.559772477415038e-05]
account of: [8, 0.8888888888888888]
capture the: [8, 0.7272727272727273]
indie: [8, 9.559772477415038e-05]
worst: [8, 9.559772477415038e-05]
huppert: [8, 9.559772477415038e-05]
understated: [8, 9.559772477415038e-05]
delivered: [8, 9.559772477415038e-05]
sides of: [8, 0.6666666666666666]
problem: [8, 9.559772477415038e-05]
fun to: [8, 0.07079646017699115]
b-movie: [8, 9.559772477415038e-05]
brothers: [8, 9.559772477415038e-05]
beautiful film: [8, 0.17777777777777778]
tsai: [8, 9.559772477415038e-05]
reminder: [8, 9.559772477415038e-05]
possibly: [8, 9.559772477415038e-05]
brought: [8, 9.559772477415038e-05]
touches: [8, 9.559772477415038e-05]
result is: [8, 0.7272727272727273]
thrilling: [8, 9.559772477415038e-05]
as good: [8, 0.009101251422070534]
impeccable: [8, 9.559772477415038e-05]
against the: [8, 0.3076923076923077]
can't help: [8, 0.19047619047619047]
intimate and: [8, 0.36363636363636365]
storyline: [8, 9.559772477415038e-05]
please: [8, 9.559772477415038e-05]
imagination and: [8, 0.4]
makes us: [8, 0.05555555555555555]
using: [8, 9.559772477415038e-05]
longer: [8, 9.559772477415038e-05]
increasingly: [8, 9.559772477415038e-05]
sit: [8, 9.559772477415038e-05]
directorial: [8, 9.559772477415038e-05]
mostly martha: [8, 0.27586206896551724]
just enough: [8, 0.05405405405405406]
my big: [8, 0.13333333333333333]
fat greek: [8, 0.6666666666666666]
greek wedding: [8, 0.8]
add: [8, 9.559772477415038e-05]
don't have: [8, 0.13114754098360656]
performance is: [8, 0.08333333333333333]
one man's: [8, 0.02185792349726776]
insomnia: [8, 9.559772477415038e-05]
course: [8, 9.559772477415038e-05]
i'll: [8, 9.559772477415038e-05]
for his: [8, 0.01188707280832095]
sensual: [8, 9.559772477415038e-05]
revolution: [8, 9.559772477415038e-05]
where the: [8, 0.21052631578947367]
polanski: [8, 9.559772477415038e-05]
experiences: [8, 9.559772477415038e-05]
expected: [8, 9.559772477415038e-05]
serves: [8, 9.559772477415038e-05]
energetic and: [8, 0.5714285714285714]
wars: [8, 9.559772477415038e-05]
miss: [8, 9.559772477415038e-05]
find a: [8, 0.16326530612244897]
what time: [8, 0.035555555555555556]
unnerving: [8, 9.559772477415038e-05]
metropolis: [8, 9.559772477415038e-05]
what they: [8, 0.035555555555555556]
gives a: [8, 0.13559322033898305]
de niro: [8, 0.11594202898550725]
ties: [8, 9.559772477415038e-05]
talents: [8, 9.559772477415038e-05]
pathos: [8, 9.559772477415038e-05]
dark and: [8, 0.1951219512195122]
has an: [8, 0.021108179419525065]
becoming: [8, 9.559772477415038e-05]
inspiring: [8, 9.559772477415038e-05]
terrible: [8, 9.559772477415038e-05]
crowd: [8, 9.559772477415038e-05]
out and: [8, 0.0449438202247191]
dry: [8, 9.559772477415038e-05]
recent memory: [8, 0.26666666666666666]
more of: [8, 0.02572347266881029]
language: [8, 9.559772477415038e-05]
less than: [8, 0.16326530612244897]
intelligent and: [8, 0.18181818181818182]
he can: [8, 0.08247422680412371]
been a: [8, 0.08247422680412371]
equal: [8, 9.559772477415038e-05]
innocence: [8, 9.559772477415038e-05]
up a: [8, 0.05194805194805195]
denying: [8, 9.559772477415038e-05]
secretary: [8, 9.559772477415038e-05]
suspenseful: [8, 9.559772477415038e-05]
like its: [8, 0.028469750889679714]
setting: [8, 9.559772477415038e-05]
but as: [8, 0.010230179028132993]
victims: [8, 9.559772477415038e-05]
happiness: [8, 9.559772477415038e-05]
stylistic: [8, 9.559772477415038e-05]
asks: [8, 9.559772477415038e-05]
delicious: [8, 9.559772477415038e-05]
guilty: [8, 9.559772477415038e-05]
coming-of-age story: [8, 0.24242424242424243]
smartly: [8, 9.559772477415038e-05]
present: [8, 9.559772477415038e-05]
telling: [8, 9.559772477415038e-05]
how the: [8, 0.08888888888888889]
divine: [8, 9.559772477415038e-05]
secrets: [8, 9.559772477415038e-05]
provide: [8, 9.559772477415038e-05]
closer: [8, 9.559772477415038e-05]
observations: [8, 9.559772477415038e-05]
admire: [8, 9.559772477415038e-05]
melancholy: [8, 9.559772477415038e-05]
much to: [8, 0.05194805194805195]
point of: [8, 0.27586206896551724]
relationship between: [8, 0.42105263157894735]
too much: [8, 0.0851063829787234]
marvel: [8, 9.559772477415038e-05]
its most: [8, 0.011444921316165951]
evokes: [8, 9.559772477415038e-05]
overcome: [8, 9.559772477415038e-05]
drawn: [8, 9.559772477415038e-05]
dancing: [8, 9.559772477415038e-05]
modest: [8, 9.559772477415038e-05]
breezy: [8, 9.559772477415038e-05]
conventional: [8, 9.559772477415038e-05]
vehicle: [8, 9.559772477415038e-05]
franchise: [8, 9.559772477415038e-05]
credits: [8, 9.559772477415038e-05]
diversion: [8, 9.559772477415038e-05]
clearly: [8, 9.559772477415038e-05]
script and: [8, 0.21052631578947367]
thrills: [8, 9.559772477415038e-05]
he is: [8, 0.08247422680412371]
conduct: [8, 9.559772477415038e-05]
tour de: [8, 0.7272727272727273]
de force: [8, 0.11594202898550725]
mother: [8, 9.559772477415038e-05]
film for: [8, 0.009732360097323601]
mess: [8, 9.559772477415038e-05]
creates a: [8, 0.38095238095238093]
front: [8, 9.559772477415038e-05]
subtle and: [8, 0.36363636363636365]
simplicity: [8, 9.559772477415038e-05]
turns out: [8, 0.3076923076923077]
roll: [8, 9.559772477415038e-05]
explores the: [8, 0.8]
filmmaker's: [8, 9.559772477415038e-05]
make for: [8, 0.052980132450331126]
cautionary: [8, 9.559772477415038e-05]
eight: [8, 9.559772477415038e-05]
gifted: [8, 9.559772477415038e-05]
packed: [8, 9.559772477415038e-05]
wildly: [8, 9.559772477415038e-05]
blade: [8, 9.559772477415038e-05]
blood: [8, 9.559772477415038e-05]
soundtrack: [8, 9.559772477415038e-05]
you in: [8, 0.016194331983805668]
like an: [8, 0.028469750889679714]
falls: [8, 9.559772477415038e-05]
state: [8, 9.559772477415038e-05]
teacher: [8, 9.559772477415038e-05]
gently: [8, 9.559772477415038e-05]
time out: [8, 0.05063291139240506]
straightforward: [8, 9.559772477415038e-05]
even when: [8, 0.044444444444444446]
emotion: [8, 9.559772477415038e-05]
effect: [8, 9.559772477415038e-05]
face of: [8, 0.21621621621621623]
manage: [8, 9.559772477415038e-05]
manage to: [8, 1.0]
thriller that: [8, 0.1095890410958904]
only to: [8, 0.07766990291262135]
doubt: [8, 9.559772477415038e-05]
said: [8, 9.559772477415038e-05]
addition: [8, 9.559772477415038e-05]
addition to: [8, 1.0]
dialogue and: [8, 0.23529411764705882]
mixture: [8, 9.559772477415038e-05]
finely: [8, 9.559772477415038e-05]
it's worth: [8, 0.014184397163120567]
despair: [8, 9.559772477415038e-05]
para: [8, 9.559772477415038e-05]
pain: [8, 9.559772477415038e-05]
already: [8, 9.559772477415038e-05]
with enough: [8, 0.009060022650056626]
physical: [8, 9.559772477415038e-05]
kissinger: [8, 9.559772477415038e-05]
sade: [8, 9.559772477415038e-05]
killer: [8, 9.559772477415038e-05]
capable: [8, 9.559772477415038e-05]
trick: [8, 9.559772477415038e-05]
belongs: [8, 9.559772477415038e-05]
filme: [8, 9.559772477415038e-05]
impossible to: [8, 0.34782608695652173]
sequence: [8, 9.559772477415038e-05]
harrowing: [8, 9.559772477415038e-05]
i found: [8, 0.04419889502762431]
delivering: [8, 9.559772477415038e-05]
sight: [8, 9.559772477415038e-05]
james: [8, 9.559772477415038e-05]
use of: [8, 0.47058823529411764]
birthday: [8, 9.559772477415038e-05]
joy: [8, 9.559772477415038e-05]
birthday girl: [8, 1.0]
number of: [8, 0.8888888888888888]
if you've: [8, 0.030303030303030304]
an artist: [8, 0.010610079575596816]
encounter: [8, 9.559772477415038e-05]
tradition: [8, 9.559772477415038e-05]
e t: [8, 0.47058823529411764]
wish: [8, 9.559772477415038e-05]
color: [8, 9.559772477415038e-05]
moore: [8, 9.559772477415038e-05]
will leave: [8, 0.04020100502512563]
superb: [8, 9.559772477415038e-05]
all about: [8, 0.02768166089965398]
it's all: [8, 0.014184397163120567]
or a: [8, 0.042328042328042326]
frequently: [8, 9.559772477415038e-05]
value: [8, 9.559772477415038e-05]
knowledge: [8, 9.559772477415038e-05]
indian: [8, 9.559772477415038e-05]
powerful and: [8, 0.1702127659574468]
desperation: [8, 9.559772477415038e-05]
who is: [8, 0.032388663967611336]
need to: [8, 0.23529411764705882]
conclusion: [8, 9.559772477415038e-05]
movie that's: [7, 0.013725490196078431]
honest and: [7, 0.21212121212121213]
combination of: [7, 0.7]
famous: [7, 8.364800917738157e-05]
which the: [7, 0.0673076923076923]
overly: [7, 8.364800917738157e-05]
breath: [7, 8.364800917738157e-05]
glass: [7, 8.364800917738157e-05]
not for: [7, 0.01907356948228883]
efforts: [7, 8.364800917738157e-05]
wow: [7, 8.364800917738157e-05]
paid: [7, 8.364800917738157e-05]
hugh: [7, 8.364800917738157e-05]
while it: [7, 0.056910569105691054]
literate: [7, 8.364800917738157e-05]
rewards: [7, 8.364800917738157e-05]
effort to: [7, 0.25]
technology: [7, 8.364800917738157e-05]
beginning: [7, 8.364800917738157e-05]
acts: [7, 8.364800917738157e-05]
importance: [7, 8.364800917738157e-05]
importance of: [7, 1.0]
gosling: [7, 8.364800917738157e-05]
gives us: [7, 0.11864406779661017]
fable: [7, 8.364800917738157e-05]
target: [7, 8.364800917738157e-05]
celebrates: [7, 8.364800917738157e-05]
brother: [7, 8.364800917738157e-05]
held: [7, 8.364800917738157e-05]
pleasant enough: [7, 0.4117647058823529]
astonishing: [7, 8.364800917738157e-05]
bride: [7, 8.364800917738157e-05]
taut: [7, 8.364800917738157e-05]
pull: [7, 8.364800917738157e-05]
through a: [7, 0.07608695652173914]
example of: [7, 0.875]
deeply felt: [7, 0.1891891891891892]
have you: [7, 0.02702702702702703]
your eyes: [7, 0.05185185185185185]
happens: [7, 8.364800917738157e-05]
depressing: [7, 8.364800917738157e-05]
narc: [7, 8.364800917738157e-05]
these days: [7, 0.11290322580645161]
kong: [7, 8.364800917738157e-05]
hong kong: [7, 0.875]
adventure and: [7, 0.23333333333333334]
us with: [7, 0.04487179487179487]
barely: [7, 8.364800917738157e-05]
discovery: [7, 8.364800917738157e-05]
national: [7, 8.364800917738157e-05]
favor: [7, 8.364800917738157e-05]
quickly: [7, 8.364800917738157e-05]
time of: [7, 0.04430379746835443]
i was: [7, 0.03867403314917127]
korean: [7, 8.364800917738157e-05]
surface: [7, 8.364800917738157e-05]
rousing: [7, 8.364800917738157e-05]
mainly: [7, 8.364800917738157e-05]
somewhere: [7, 8.364800917738157e-05]
spend: [7, 8.364800917738157e-05]
key: [7, 8.364800917738157e-05]
